Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,8.70,886,56,277,OVA,4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",Aniplex,"ADV Films,       Aniplex of America",Studio Deen,Manga,"Action, Drama, Romance","Adult Cast, Historical, Samurai",Shounen,29 min. per ep.,R - 17+ (violence & profanity),"6,276",,
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories: Showa Genroku Rakugo Shinju,8.71,1279,54,188,TV,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017","Mainichi Broadcasting System,       Kodansha,       DAX Production,       King Records","None found, add some",Studio Deen,Manga,Drama,"Adult Cast, Historical, Love Polygon, Performing Arts",Josei,24 min. per ep.,PG-13 - Teens 13 or older,"3,158",Winter 2017,Saturdays at 02:25 (JST)
Ashita no Joe 2,Tomorrow's Joe 2,8.72,3047,52,53,TV,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",Annapuru,"None found, add some",Tokyo Movie Shinsha,Manga,"Drama, Sports",Combat Sports,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"2,720",Fall 1980,Unknown
Mob Psycho 100 III,,8.71,298,55,686,TV,12,Finished Airing,"Oct 6, 2022 to Dec 22, 2022","Shogakukan-Shueisha Productions,       Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan","None found, add some",Bones,Web manga,"Action, Comedy, Supernatural",Super Power,,23 min. per ep.,PG-13 - Teens 13 or older,"10,389",Fall 2022,Thursdays at 00:00 (JST)
86 Part 2,86 Eighty-Six Part 2,8.71,443,53,506,TV,12,Finished Airing,"Oct 3, 2021 to Mar 19, 2022","Aniplex,       Kadokawa,       Bandai Spirits","None found, add some",A-1 Pictures,Light novel,"Action, Drama, Sci-Fi","Mecha, Military",,23 min. per ep.,R - 17+ (violence & profanity),"15,165",Fall 2021,Sundays at 00:00 (JST)
Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,8.70,22,57,2,TV,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007","Bandai Visual,       Mainichi Broadcasting System,       Bandai,       Sony Music Entertainment,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners","Funimation,       Bandai Entertainment",Sunrise,Original,"Action, Award Winning, Drama, Sci-Fi","Mecha, Military, School, Super Power",,24 min. per ep.,R - 17+ (violence & profanity),"109,031",Fall 2006,Fridays at 01:25 (JST)
Great Teacher Onizuka,,8.69,217,59,833,TV,43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000","Aniplex,       Fuji TV","Discotek Media,       Tokyopop",Pierrot,Manga,Comedy,"Delinquents, School, Workplace",Shounen,25 min. per ep.,R - 17+ (violence & profanity),"26,591",Summer 1999,Wednesdays at 19:30 (JST)
Haikyuu!! Movie: Gomisuteba no Kessen,Haikyu!! Movie: The Dumpster Battle,8.69,1847,60,118,Movie,1,Finished Airing,"Feb 16, 2024","TOHO animation,       Shueisha","None found, add some",Production I.G,Manga,Sports,"School, Team Sports",Shounen,1 hr. 25 min.,PG-13 - Teens 13 or older,"1,025",,
Mo Dao Zu Shi: Wanjie Pian,The Founder of Diabolism Season 3,8.69,2389,61,81,ONA,12,Finished Airing,"Aug 7, 2021 to Oct 16, 2021",Tencent Penguin Pictures,"None found, add some",B.CMAY PICTURES,Web novel,"Action, Adventure, Drama, Fantasy, Mystery","Historical, Mythology, Reincarnation",,24 min. per ep.,R - 17+ (violence & profanity),"1,618",,
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,8.69,890,58,276,TV,13,Finished Airing,"Jul 8, 2023 to Sep 30, 2023","TV Tokyo,       Aniplex,       Dentsu,       Shueisha,       Zack Promotion",VIZ Media,Pierrot,Manga,"Action, Adventure, Fantasy",,Shounen,24 min. per ep.,R - 17+ (violence & profanity),"4,183",Summer 2023,Saturdays at 23:00 (JST)
One Piece,,8.72,19,51,2,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?","Fuji TV,       TAP,       Shueisha","Funimation,       4Kids Entertainment",Toei Animation,Manga,"Action, Adventure, Fantasy",,Shounen,24 min.,PG-13 - Teens 13 or older,"222,478",Fall 1999,Sundays at 09:30 (JST)
Mushishi Zoku Shou,Mushi-shi: Next Passage Part 1,8.69,806,62,302,TV,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014","Aniplex,       Kodansha,       Delfi Sound",Aniplex of America,Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,"1,577",Spring 2014,Saturdays at 00:00 (JST)
Tian Guan Cifu Er,Heaven Official's Blessing Season 2,8.68,3321,63,45,ONA,12,Finished Airing,"Oct 18, 2023 to Jan 17, 2024",bilibili,"None found, add some",Red Dog Culture House,Web novel,"Action, Adventure, Drama, Fantasy","Historical, Mythology",,24 min. per ep.,PG-13 - Teens 13 or older,"1,018",,
Violet Evergarden,,8.68,46,64,1,TV,13,Finished Airing,"Jan 11, 2018 to Apr 5, 2018","Lantis,       Pony Canyon,       Rakuonsha,       ABC Animation",Funimation,Kyoto Animation,Light novel,"Drama, Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,"62,076",Winter 2018,Thursdays at 00:00 (JST)
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Fate/stay night: Heaven's Feel - III. Spring Song,8.66,674,66,354,Movie,1,Finished Airing,"Aug 15, 2020","Aniplex,       Notes,       Kadokawa",Aniplex of America,ufotable,Visual novel,"Action, Fantasy, Supernatural",,,2 hr. 2 min.,R - 17+ (violence & profanity),"8,081",,
Hajime no Ippo: New Challenger,Fighting Spirit: New Challenger,8.67,850,65,289,TV,26,Finished Airing,"Jan 7, 2009 to Jul 1, 2009","VAP,       Kodansha,       Nippon Television Network","None found, add some",Madhouse,Manga,Sports,Combat Sports,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"1,811",Winter 2009,Wednesdays at 01:29 (JST)
Howl no Ugoku Shiro,Howl's Moving Castle,8.66,99,67,1,Movie,1,Finished Airing,"Nov 20, 2004","d-rights,       Tokuma Shoten",Disney Platform Distribution,Studio Ghibli,Novel,"Adventure, Award Winning, Drama, Fantasy, Romance",,,1 hr. 59 min.,G - All Ages,"29,192",,
Mononoke Hime,Princess Mononoke,8.66,105,68,1,Movie,1,Finished Airing,"Jul 12, 1997","Tokuma Shoten,       Nippon Television Network",GKIDS,Studio Ghibli,Original,"Action, Adventure, Award Winning, Fantasy",,,2 hr. 13 min.,PG-13 - Teens 13 or older,"22,080",,
Mushishi,Mushi-Shi,8.66,215,69,834,TV,26,Finished Airing,"Oct 23, 2005 to Jun 19, 2006","Avex Entertainment,       Marvelous Entertainment,       SKY Perfect Well Think,       Delfi Sound",Funimation,Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,"26,960",Fall 2005,Sundays at 03:40 (JST)
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,8.66,181,70,930,TV,12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021","Frontier Works,       TOHO,       TOHO animation,       Tokyo MX,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Kadokawa,       GREE Entertainment",Funimation,Studio Bind,Light novel,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",,23 min. per ep.,R - 17+ (violence & profanity),"18,640",Fall 2021,Mondays at 00:00 (JST)
Odd Taxi,,8.66,524,71,436,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021","TV Tokyo,       Dentsu,       Pony Canyon,       AT-X,       Crunchyroll,       Pony Canyon Enterprises,       Yoshimoto Kogyo","None found, add some","OLM,       P.I.C.S.",Original,"Award Winning, Drama, Mystery, Suspense","Adult Cast, Anthropomorphic, Organized Crime",,23 min. per ep.,PG-13 - Teens 13 or older,"8,303",Spring 2021,Tuesdays at 02:00 (JST)
Made in Abyss,,8.65,94,72,1,TV,13,Finished Airing,"Jul 7, 2017 to Sep 29, 2017","AT-X,       Takeshobo,       Sony Music Communications,       Kadokawa Media House,       Cygames,       Kanetsu Investment,       Kadokawa,       Global Solutions,       IRMA LA DOUCE",Sentai Filmworks,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,,25 min. per ep.,R - 17+ (violence & profanity),"44,390",Summer 2017,Fridays at 21:30 (JST)
"""Oshi no Ko""",[Oshi No Ko],8.65,239,73,799,TV,11,Finished Airing,"Apr 12, 2023 to Jun 28, 2023","Shueisha,       CyberAgent,       Kadokawa",Sentai Filmworks,Doga Kobo,Manga,"Award Winning, Drama, Supernatural","Reincarnation, Showbiz",Seinen,30 min. per ep.,PG-13 - Teens 13 or older,"27,728",Spring 2023,Wednesdays at 23:00 (JST)
Bungou Stray Dogs 5th Season,Bungo Stray Dogs 5,8.65,1306,74,184,TV,11,Finished Airing,"Jul 12, 2023 to Sep 20, 2023","WOWOW,       Lantis,       Movic,       Glovision,       Crunchyroll,       Sunrise Music,       Kadokawa,       Sony Music Solutions,       Bandai Namco Music Live","None found, add some",Bones,Manga,"Action, Mystery, Supernatural","Adult Cast, Detective, Organized Crime, Super Power, Vampire",Seinen,23 min. per ep.,R - 17+ (violence & profanity),"2,272",Summer 2023,Wednesdays at 23:00 (JST)
Natsume Yuujinchou Shi,Natsume's Book of Friends Season 4,8.64,997,75,246,TV,13,Finished Airing,"Jan 3, 2012 to Mar 27, 2012","TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha,       Sony Music Entertainment","NIS America, Inc.",Brain's Base,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,"2,009",Winter 2012,Tuesdays at 01:30 (JST)
Shigatsu wa Kimi no Uso,Your Lie in April,8.64,23,76,2,TV,22,Finished Airing,"Oct 10, 2014 to Mar 20, 2015","Aniplex,       Dentsu,       Kodansha,       Fuji TV,       Lawson HMV Entertainment,       Kyoraku Industrial Holdings,       Kansai Telecasting",Aniplex of America,A-1 Pictures,Manga,"Drama, Romance","Love Polygon, Music, School",Shounen,22 min. per ep.,PG-13 - Teens 13 or older,"86,187",Fall 2014,Fridays at 01:20 (JST)
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War Season 2,8.63,97,77,1,TV,12,Finished Airing,"Apr 11, 2020 to Jun 27, 2020","Aniplex,       Mainichi Broadcasting System,       Shueisha,       JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,Comedy,"Psychological, Romantic Subtext, School",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,"18,794",Spring 2020,Saturdays at 23:30 (JST)
Made in Abyss: Retsujitsu no Ougonkyou,Made in Abyss: The Golden City of the Scorching Sun,8.63,505,78,449,TV,12,Finished Airing,"Jul 6, 2022 to Sep 28, 2022","AT-X,       Takeshobo,       Kadokawa Media House,       Cygames,       Kadokawa,       Global Solutions,       Sony Music Solutions,       IRMA LA DOUCE",Sentai Filmworks,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,,25 min. per ep.,R - 17+ (violence & profanity),"6,090",Summer 2022,Wednesdays at 22:30 (JST)
Shiguang Dailiren II,Link Click Season 2,8.63,1943,79,111,ONA,12,Finished Airing,"Jul 14, 2023 to Sep 22, 2023","bilibili,       BeDream","None found, add some",LAN Studio,Original,"Drama, Mystery, Supernatural, Suspense","Adult Cast, Time Travel",,24 min. per ep.,R - 17+ (violence & profanity),"1,440",,
Tengen Toppa Gurren Lagann,Gurren Lagann,8.63,64,80,1,TV,27,Finished Airing,"Apr 1, 2007 to Sep 30, 2007","TV Tokyo,       Aniplex,       Dentsu,       Konami,       Half H.P Studio,       Bandai","ADV Films,       Bandai Entertainment,       Aniplex of America",Gainax,Original,"Action, Adventure, Award Winning, Sci-Fi",Mecha,,24 min. per ep.,PG-13 - Teens 13 or older,"78,548",Spring 2007,Sundays at 08:30 (JST)
Shingeki no Kyojin Season 3,Attack on Titan Season 3,8.62,18,81,2,TV,12,Finished Airing,"Jul 23, 2018 to Oct 15, 2018","Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,23 min. per ep.,R - 17+ (violence & profanity),"20,777",Summer 2018,Mondays at 00:35 (JST)
Ping Pong the Animation,,8.62,588,82,396,TV,11,Finished Airing,"Apr 11, 2014 to Jun 20, 2014","Aniplex,       Dentsu,       Fuji TV,       Kyoraku Industrial Holdings",Funimation,Tatsunoko Production,Manga,"Award Winning, Drama, Sports",,Seinen,23 min. per ep.,PG-13 - Teens 13 or older,"16,022",Spring 2014,Fridays at 00:50 (JST)
Haikyuu!! Second Season,Haikyu!! 2nd Season,8.62,87,84,1,TV,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016","Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Sentai Filmworks,Production I.G,Manga,Sports,"School, Team Sports",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"15,722",Fall 2015,Sundays at 02:58 (JST)
Death Note,,8.62,2,83,3,TV,37,Finished Airing,"Oct 4, 2006 to Jun 27, 2007","VAP,       Nippon Television Network,       Shueisha,       D.N. Dream Partners",VIZ Media,Madhouse,Manga,"Supernatural, Suspense",Psychological,Shounen,23 min. per ep.,R - 17+ (violence & profanity),"174,444",Fall 2006,Wednesdays at 00:56 (JST)
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Made in Abyss: Dawn of the Deep Soul,8.61,485,85,467,Movie,1,Finished Airing,"Jan 17, 2020","AT-X,       Takeshobo,       Kadokawa Media House,       Cygames,       Kanetsu Investment,       Kadokawa,       Global Solutions,       Sony Music Solutions,       IRMA LA DOUCE",Sentai Filmworks,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,,1 hr. 45 min.,R - 17+ (violence & profanity),"3,621",,
Natsume Yuujinchou Roku,Natsume's Book of Friends Season 6,8.61,1288,86,187,TV,11,Finished Airing,"Apr 12, 2017 to Jun 21, 2017","TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha","None found, add some",Shuka,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,"1,092",Spring 2017,Wednesdays at 01:35 (JST)
Jujutsu Kaisen,,8.60,14,87,2,TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021","Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap",VIZ Media,MAPPA,Manga,"Action, Award Winning, Fantasy",School,Shounen,23 min. per ep.,R - 17+ (violence & profanity),"91,059",Fall 2020,Saturdays at 01:25 (JST)
Suzumiya Haruhi no Shoushitsu,The Disappearance of Haruhi Suzumiya,8.60,358,88,612,Movie,1,Finished Airing,"Feb 6, 2010","Kadokawa Shoten,       Animation Do","Funimation,       Bandai Entertainment",Kyoto Animation,Light novel,"Award Winning, Mystery, Sci-Fi, Supernatural",School,,2 hr. 41 min.,PG-13 - Teens 13 or older,"13,575",,
Cyberpunk: Edgerunners,,8.60,260,89,760,ONA,10,Finished Airing,"Sep 13, 2022",CD Projekt Red,"None found, add some",Trigger,Game,"Action, Sci-Fi","Gore, Organized Crime",,25 min. per ep.,R+ - Mild Nudity,"25,511",,
Hibike! Euphonium 3,Sound! Euphonium 3,8.60,2882,91,59,TV,13,Currently Airing,"Apr 7, 2024 to ?","Lantis,       Pony Canyon,       Rakuonsha,       ABC Animation,       Heart Company,       Bandai Namco Music Live","None found, add some",Kyoto Animation,Novel,Drama,"Music, Performing Arts, School",,24 min. per ep.,PG-13 - Teens 13 or older,368,Spring 2024,Sundays at 17:00 (JST)
Hajime no Ippo: Rising,Fighting Spirit: Rising,8.60,933,90,262,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014","VAP,       Kodansha,       Nippon Television Network","None found, add some","Madhouse,       MAPPA",Manga,Sports,Combat Sports,Shounen,22 min. per ep.,PG-13 - Teens 13 or older,"1,300",Fall 2013,Sundays at 01:35 (JST)
Mushishi Zoku Shou: Suzu no Shizuku,,8.59,1742,93,129,Movie,1,Finished Airing,"May 16, 2015","Aniplex,       Kodansha,       Delfi Sound","None found, add some",Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",Seinen,47 min.,PG-13 - Teens 13 or older,221,,
Kenpuu Denki Berserk,Berserk,8.59,312,92,666,TV,25,Finished Airing,"Oct 8, 1997 to Apr 1, 1998","VAP,       Hakusensha,       Nippon Television Network",Discotek Media,OLM,Manga,"Action, Adventure, Drama, Fantasy, Horror","Gore, Military",Seinen,23 min. per ep.,R+ - Mild Nudity,"28,014",Fall 1997,Wednesdays at 01:45 (JST)
Shin Evangelion Movie:||,Evangelion: 3.0+1.0 Thrice Upon a Time,8.59,624,95,377,Movie,1,Finished Airing,"Mar 8, 2021","None found, add some",GKIDS,Khara,Original,"Action, Award Winning, Drama, Sci-Fi, Suspense","Mecha, Psychological",,2 hr. 35 min.,PG-13 - Teens 13 or older,"7,490",,
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Rascal Does Not Dream of a Dreaming Girl,8.59,284,94,716,Movie,1,Finished Airing,"Jun 15, 2019","Aniplex,       Tokyo MX,       Hakuhodo DY Music & Pictures,       Nagoya Broadcasting Network,       BS11,       ABC Animation,       Kadokawa",Aniplex of America,CloverWorks,Light novel,"Drama, Romance, Supernatural",School,,1 hr. 30 min.,PG-13 - Teens 13 or older,"10,229",,
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Gurren Lagann The Movie: The Lights in the Sky are Stars,8.58,1121,96,218,Movie,1,Finished Airing,"Apr 22, 2009",Aniplex,Aniplex of America,Gainax,Original,"Action, Sci-Fi","Mecha, Space, Super Power",,2 hr. 5 min.,R+ - Mild Nudity,"1,033",,
Kizumonogatari II: Nekketsu-hen,Kizumonogatari Part 2: Hot-Blooded,8.57,508,98,447,Movie,1,Finished Airing,"Aug 19, 2016","Aniplex,       Kodansha",Aniplex of America,Shaft,Light novel,"Action, Mystery, Supernatural",Vampire,,1 hr. 4 min.,R - 17+ (violence & profanity),"2,352",,
