Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Aoki Ryuusei SPT Layzner OVA,Blue Comet SPT Layzner,6.75,10612,5356,2,OVA,3,Finished Airing,"Aug 21, 1986 to Oct 21, 1986","None found, add some",Discotek Media,Sunrise,Unknown,"Action, Sci-Fi","Mecha, Military, Space",55 min. per ep.,PG-13 - Teens 13 or older,5,,,
4 Ju Aein,4 Week Lovers,6.75,11652,5354,1,ONA,10,Finished Airing,"Apr 4, 2023",Laftel,"None found, add some","None found, add some",Web manga,Boys Love,,4 min. per ep.,PG-13 - Teens 13 or older,7,,,
Anne no Nikki,The Diary of Anne Frank,6.75,7001,5355,8,Movie,1,Finished Airing,"Aug 19, 1995","TBS,       Imagica,       Hakuhodo,       Nichion,       Bungeishunjuu,       Tokyo FM Broadcasting","None found, add some",Madhouse,Book,Drama,Historical,1 hr. 28 min.,PG-13 - Teens 13 or older,8,,,
Imanara Maniau! Log Horizon,Now It's Time to Go! Log Horizon,6.76,4830,5352,20,TV Special,1,Finished Airing,"Nov 11, 2013","None found, add some","None found, add some",Satelight,Light novel,"Action, Adventure, Fantasy",Adult Cast,58 min.,PG-13 - Teens 13 or older,13,,,
Home!,,6.76,7890,5351,6,ONA,1,Finished Airing,"Mar 26, 2021","None found, add some","None found, add some",Orange,Original,"Sci-Fi, Supernatural",,7 min.,PG-13 - Teens 13 or older,22,,,
Itoshi no Muco,Lovely Muuuuuuuco!,6.76,7306,5353,7,TV,25,Finished Airing,"Oct 3, 2015 to Mar 26, 2016","None found, add some","None found, add some",DLE,Manga,"Comedy, Slice of Life",Pets,12 min. per ep.,PG - Children,26,Fall 2015,Saturdays at 09:14 (JST),
"Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""",,6.75,4208,5357,28,ONA,1,Finished Airing,"Aug 29, 2010","None found, add some","None found, add some",SILVER LINK.,Light novel,Comedy,Parody,3 min.,PG-13 - Teens 13 or older,11,,,
Bakuretsu Tenshi: Infinity,,6.75,5339,5358,15,OVA,1,Finished Airing,"Mar 23, 2007","None found, add some",Funimation,Gonzo,Original,"Action, Comedy, Sci-Fi",Mecha,25 min.,PG-13 - Teens 13 or older,13,,,
Blood-C: Special Edition,,6.75,4899,5361,20,Special,2,Finished Airing,"May 26, 2012 to May 30, 2012","None found, add some","None found, add some",Production I.G,Original,"Action, Horror, Supernatural","Gore, School, Vampire",25 min. per ep.,R - 17+ (violence & profanity),27,,,
Bastard!! Ankoku no Hakaishin Part 2 (ONA),"Bastard‼ Heavy Metal, Dark Fantasy Part 2",6.75,4004,5359,31,ONA,11,Finished Airing,"Sep 15, 2022","Warner Bros. Japan,       Shueisha","None found, add some",LIDENFILMS,Manga,"Action, Adventure, Fantasy, Ecchi",Gore,23 min. per ep.,R+ - Mild Nudity,70,,,Seinen
Bubuki Buranki: Hoshi no Kyojin,BBK/BRNK: The Gentle Giants of the Galaxy,6.75,4337,5362,26,TV,12,Finished Airing,"Oct 1, 2016 to Dec 17, 2016","Dentsu,       AT-X,       Ultra Super Pictures,       Sony Music Communications,       Bushiroad,       Sammy,       Kadokawa Media (Taiwan),       Tose,       Kadokawa","None found, add some",SANZIGEN,Original,"Action, Drama, Sci-Fi",Mecha,23 min. per ep.,PG-13 - Teens 13 or older,23,Fall 2016,Saturdays at 21:30 (JST),
Black Clover: Jump Festa 2016 Special,,6.75,3395,5360,43,OVA,1,Finished Airing,"Nov 27, 2016",Shueisha,"None found, add some",I.Gzwei,Manga,"Action, Comedy, Fantasy",,27 min.,PG-13 - Teens 13 or older,126,,,Shounen
Candy Boy Episode: EX01 - Mirai Yohouzu,,6.75,4271,5363,27,OVA,1,Finished Airing,"Aug 13, 2008","None found, add some","None found, add some",AIC,Original,Girls Love,School,7 min.,PG-13 - Teens 13 or older,9,,,
