Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu,,5.93,12464,9850,1,TV,10,Finished Airing,"Aug 5, 2010 to Oct 7, 2010",Summer 2010,Unknown,"None found, add some","None found, add some",DLE,Game,"Action, Comedy",3 min. per ep.,G - All Ages,1,,
Obsolete,,5.93,7627,9853,6,ONA,12,Finished Airing,"Dec 3, 2019 to Dec 1, 2020",,,"Nitroplus,       Good Smile Company,       Bandai Namco Arts,       Bandai Namco Online",Sentai Filmworks,Buemon,Original,,13 min. per ep.,PG-13 - Teens 13 or older,13,Mecha,
Ninkuu: Knife no Bohyou,,5.93,13648,9852,993,Special,1,Finished Airing,Oct 1994,,,"None found, add some","None found, add some",Pierrot,Manga,"Action, Adventure, Comedy",34 min.,PG-13 - Teens 13 or older,0,Martial Arts,Shounen
Nanami-chan,,5.93,12399,9851,1,TV,12,Finished Airing,"Oct 2, 2004 to Jan 8, 2005",Fall 2004,Unknown,Robot Communications,"None found, add some","None found, add some",Other,Comedy,5 min. per ep.,G - All Ages,1,,Kids
Oreca Battle,,5.93,10540,9854,2,TV,51,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",Spring 2014,Mondays at 18:00 (JST),"None found, add some","None found, add some","Xebec,       OLM",Game,,11 min. per ep.,G - All Ages,3,Strategy Game,
Phantasy Star Online 2: Episode Oracle - Xiao's Report,Phantasy Star Online 2: Episode Oracle,5.93,10915,9855,2,TV Special,1,Finished Airing,"Dec 30, 2019",,,Sega,"None found, add some",Gonzo,Game,"Action, Sci-Fi",23 min.,PG-13 - Teens 13 or older,1,Space,
Pupa (Movie),,5.93,15208,9856,628,Movie,1,Finished Airing,2019,,,Geidai Animation,"None found, add some","None found, add some",Original,"Avant Garde, Slice of Life",3 min.,R+ - Mild Nudity,1,,
Restol: Teugsu Gujo Dae,"RESTOL, The Full-Armed Rescue Squad",5.93,13605,9857,1,TV,26,Finished Airing,"Jan 29, 1999 to Jul 23, 1999",Winter 1999,Unknown,"None found, add some","None found, add some","None found, add some",Unknown,"Action, Adventure",25 min. per ep.,G - All Ages,1,"Detective, Mecha",
Sarutobi Ecchan,,5.93,12265,9858,1,TV,26,Finished Airing,"Oct 4, 1971 to Mar 27, 1972",Fall 1971,Unknown,"None found, add some","None found, add some",Toei Animation,Unknown,Comedy,25 min. per ep.,PG - Children,0,School,Kids
Shadow Skill (1999),,5.93,15102,9859,646,OVA,1,Finished Airing,1999,,,Takeshobo,"None found, add some",Zero-G Room,Manga,Comedy,18 min.,R+ - Mild Nudity,2,Parody,Seinen
Macross Δ Movie: Gekijou no Walküre Specials,,5.92,12904,9860,1,Special,2,Finished Airing,"Aug 28, 2018",,,"None found, add some","None found, add some",Satelight,Original,Comedy,7 min. per ep.,PG-13 - Teens 13 or older,0,,
Mahou Shoujo Nante Mou Ii desu kara.,Mahou Shoujo Nante Mouiidesukara,5.92,4241,9861,27,TV,12,Finished Airing,"Jan 12, 2016 to Mar 29, 2016",Winter 2016,Tuesdays at 01:11 (JST),"Earth Star Entertainment,       F.M.F","None found, add some",PINE JAM,Web manga,Comedy,4 min. per ep.,PG-13 - Teens 13 or older,20,Mahou Shoujo,
