Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
The Animatrix,,7.30,2334,2703,84,OVA,9,Finished Airing,"Jun 3, 2003","None found, add some",Warner Bros. Pictures,"Madhouse,       Studio 4°C,       Square Pictures",Other,"Action, Drama, Sci-Fi",10 min. per ep.,R - 17+ (violence & profanity),265,,,,
Tiger Mask Nisei,,7.30,7501,2705,6,TV,33,Finished Airing,"Apr 20, 1981 to Jan 18, 1982","None found, add some","None found, add some",Toei Animation,Manga,"Drama, Sports",24 min. per ep.,R - 17+ (violence & profanity),24,Spring 1981,Mondays at 19:00 (JST),Combat Sports,
Tales of Zestiria the Cross 2nd Season,Tales of Zestiria the X Season 2,7.30,1465,2701,161,TV,13,Finished Airing,"Jan 8, 2017 to Apr 29, 2017","Bandai Visual,       Lantis,       Bandai Namco Entertainment,       Anime Consortium Japan",Funimation,ufotable,Game,"Action, Adventure, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,216,Winter 2017,Sundays at 23:00 (JST),,
The Third: Aoi Hitomi no Shoujo,,7.30,4682,2704,22,TV,24,Finished Airing,"Apr 14, 2006 to Oct 27, 2006",Kadokawa Shoten,"Nozomi Entertainment,       Kadokawa Pictures USA",Xebec,Light novel,"Action, Adventure, Sci-Fi",23 min. per ep.,R - 17+ (violence & profanity),92,Spring 2006,Fridays at 00:30 (JST),,
Tetsujin 28-gou (2004),Tetsujin 28,7.30,7902,2702,6,TV,26,Finished Airing,"Apr 8, 2004 to Sep 30, 2004",Genco,"Discotek Media,       Geneon Entertainment USA",Palm Studio,Unknown,"Adventure, Drama, Sci-Fi",25 min. per ep.,G - All Ages,44,Spring 2004,Unknown,"Historical, Mecha",Shounen
"Tokyo Ghoul: ""Jack""",Tokyo Ghoul: Jack,7.30,964,2706,255,OVA,1,Finished Airing,"Sep 30, 2015","None found, add some",Funimation,Pierrot,Manga,"Action, Fantasy, Horror, Suspense",30 min.,R - 17+ (violence & profanity),415,,,"Gore, Psychological, School",Seinen
Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,Tsubasa RESERVoir CHRoNiCLE The Movie: The Princess in the Birdcage Kingdom,7.30,3262,2708,46,Movie,1,Finished Airing,"Aug 20, 2005","Shochiku,       NHK,       Kodansha,       Movic,       Nippon Shuppan Hanbai (Nippan) K.K.",Funimation,Production I.G,Manga,"Action, Adventure, Drama, Fantasy",35 min.,PG-13 - Teens 13 or older,64,,,,Shounen
Tom Sawyer no Bouken,The Adventures of Tom Sawyer,7.30,6546,2707,9,TV,49,Finished Airing,"Jan 6, 1980 to Dec 28, 1980","None found, add some",Saban Entertainment,Nippon Animation,Book,"Adventure, Drama, Slice of Life",25 min. per ep.,G - All Ages,66,Winter 1980,Sundays at 19:30 (JST),Historical,
Uma Musume: Pretty Derby,,7.30,1615,2709,142,TV,13,Finished Airing,"Apr 2, 2018 to Jun 18, 2018","Lantis,       TOHO animation,       Kansai Telecasting,       Cygames","None found, add some",P.A. Works,Game,Sports,23 min. per ep.,PG-13 - Teens 13 or older,594,Spring 2018,Mondays at 00:00 (JST),"Anthropomorphic, Racing",
Wagamama☆Fairy Mirumo de Pon!,Mirmo Zibang!,7.30,4865,2710,20,TV,172,Finished Airing,"Apr 6, 2002 to Sep 27, 2005",Trinity Sound,VIZ Media,Studio Hibari,Manga,"Adventure, Comedy, Drama, Fantasy, Romance",21 min. per ep.,G - All Ages,130,Spring 2002,Unknown,School,Shoujo
