Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Nipple!!,,5.24,19623,12286,247,Movie,1,Finished Airing,Aug-09,"None found, add some","None found, add some","None found, add some",Original,Comedy,,36 sec.,R+ - Mild Nudity,1,,,
Oira Sukeban,,5.24,10753,12287,2,OVA,1,Finished Airing,21-Aug-92,Dynamic Planning,ADV Films,Studio Signal,Manga,"Comedy, Ecchi","Crossdressing, Delinquents, School",43 min.,PG-13 - Teens 13 or older,2,,,
Peeping Life: The Perfect Emotion Special,,5.24,14979,12288,669,Special,1,Finished Airing,16-Apr-10,CoMix Wave Films,"None found, add some","None found, add some",Original,"Comedy, Slice of Life",,5 min.,G - All Ages,0,,,
Psychic Force,,5.24,10334,12289,2,OVA,2,Finished Airing,25-May-98,"None found, add some","None found, add some",Triangle Staff,Game,"Action, Sci-Fi",Super Power,31 min. per ep.,PG-13 - Teens 13 or older,3,,,
Seishain Cyborg 003,,5.24,13921,12290,912,ONA,2,Finished Airing,10-Jan-12,Steve N' Steven,"None found, add some",Production I.G,Manga,Comedy,,15 sec. per ep.,G - All Ages,0,,,
Kana Kana Kazoku: Rika in Wonderland,,5.23,17317,12291,399,ONA,1,Finished Airing,12-Nov-14,"None found, add some","None found, add some","None found, add some",Original,Comedy,,4 min.,G - All Ages,0,,,
Lightning Trap: Leina & Laika,,5.23,12316,12292,1,OVA,1,Finished Airing,23-May-90,Youmex,Discotek Media,Ashi Productions,Original,"Action, Sci-Fi",,27 min.,PG-13 - Teens 13 or older,0,,,
Mutant Turtles: Choujin Densetsu-hen,,5.23,9835,12293,3,OVA,2,Finished Airing,21-May-96,Nippon Columbia,"None found, add some","Bee Media,       Tsuburaya Productions",Other,"Action, Adventure, Comedy, Sci-Fi","Anthropomorphic, Martial Arts, Super Power",28 min. per ep.,G - All Ages,11,,,
Norakuro Ittouhei,,5.23,15871,12294,536,Movie,1,Finished Airing,1935,The National Film Center Japan,"None found, add some","None found, add some",Manga,,,10 min.,G - All Ages,1,Kids,,
Pikotarou no Lullaby Lullaby,Pikotaro's Lullaby La La By (Web),5.23,11211,12295,2,ONA,3,Finished Airing,"Jul 17, 2017 to Jul 26, 2017","None found, add some","None found, add some",DLE,Original,Comedy,Parody,2 min. per ep.,G - All Ages,4,,,
Robot King,The Cosmos Conqueror,5.23,17347,12296,398,Movie,1,Finished Airing,1981,"None found, add some","None found, add some","None found, add some",Unknown,Action,Mecha,1 hr. 5 min.,,0,,,
Samchongsa: Time Machine 001,,5.23,16370,12297,481,Movie,1,Finished Airing,12-Jan-80,Sunwoo Entertainment,"None found, add some","None found, add some",Unknown,"Adventure, Sci-Fi",,1 hr. 11 min.,PG - Children,0,,,
Seijuuki Cyguard,Cybernetics Guardian,5.23,8342,12298,5,OVA,1,Finished Airing,01-Nov-89,"None found, add some",Central Park Media,AIC,Original,"Sci-Fi, Supernatural",Mecha,43 min.,R - 17+ (violence & profanity),3,,,
Si Ling Bianma: Shijie Caozong Zhe,Order Designer,5.23,11192,12299,2,ONA,12,Finished Airing,"Dec 19, 2013 to Jun 4, 2014","bilibili,       Yaoqi","None found, add some",Foch Films,Original,"Fantasy, Horror, Mystery","Parody, Psychological, Video Game",9 min. per ep.,R - 17+ (violence & profanity),0,,,
Tentoumushi no Otomurai,Ladybirds' Requiem,5.23,14717,12303,717,Movie,1,Finished Airing,2006,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,Music,5 min.,G - All Ages,1,,,
Yoshida no Time Slip Fumai-kou,,5.23,16701,12304,449,ONA,3,Finished Airing,"Apr 1, 2018 to Jun 1, 2018","None found, add some","None found, add some",DLE,Original,,"Historical, Parody",3 min. per ep.,G - All Ages,0,,,
Adesugata Mahou no Sannin Musume,,5.23,11667,12305,1,OVA,1,Finished Airing,28-Mar-86,"None found, add some","None found, add some",Pierrot,Original,Comedy,Mahou Shoujo,29 min.,PG-13 - Teens 13 or older,1,,,
Angel (Special),,5.23,15299,12306,615,Special,1,Finished Airing,2001,"None found, add some","None found, add some",RG Animation Studios,Original,Avant Garde,,6 min.,G - All Ages,3,,,
Aoshima Megu,,5.23,14727,12307,714,ONA,1,Finished Airing,12-Jul-17,"None found, add some","None found, add some","None found, add some",Original,Adventure,,45 sec.,G - All Ages,0,,,
Dokidoki Gakuen Kessen!! Youki Daimashiro,,5.23,16360,12308,482,OVA,1,Finished Airing,20-Sep-88,Animaruya,"None found, add some","None found, add some",Unknown,"Action, Fantasy",,10 min.,G - All Ages,0,,,
Hawk no Onayami Soudanshitsu Special,Hawk's Trouble Consultation Room Special,5.23,15373,12309,603,Special,1,Finished Airing,25-Sep-20,"None found, add some","None found, add some",Studio Deen,Manga,Comedy,,30 sec.,PG-13 - Teens 13 or older,0,,,
Hayashi-fusai,,5.23,18557,12310,310,Special,1,Finished Airing,03-May-13,"None found, add some","None found, add some","None found, add some",Original,,Music,3 min.,G - All Ages,0,,,
Home My Home,,5.23,16297,12311,489,Movie,1,Finished Airing,1970,"None found, add some","None found, add some","None found, add some",Original,Award Winning,Music,3 min.,G - All Ages,0,Kids,,
663114,,5.22,9130,12312,4,Movie,1,Finished Airing,Sep-11,"None found, add some","None found, add some","None found, add some",Original,"Award Winning, Fantasy",,7 min.,G - All Ages,3,,,
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken,Camelot,5.22,13382,12313,1,OVA,1,Finished Airing,25-Aug-90,"None found, add some","None found, add some",Ashi Productions,Unknown,"Adventure, Comedy, Fantasy",,48 min.,PG-13 - Teens 13 or older,3,,,
Aware! Meisaku-kun: Ito-Yokado no Randsell,,5.22,18278,12314,326,ONA,1,Finished Airing,06-Jul-18,"None found, add some","None found, add some","None found, add some",Original,Comedy,"Parody, School",1 min.,G - All Ages,0,Kids,,
Channel 5.5 4th Season Prologue,,5.22,15427,12315,595,ONA,1,Finished Airing,Nov-14,"None found, add some","None found, add some",DLE,Unknown,Comedy,,3 min.,PG-13 - Teens 13 or older,0,,,
Crocotires Traction AAA,,5.22,15395,12316,601,Movie,1,Finished Airing,1999,"None found, add some","None found, add some",Polygon Pictures,Original,Sports,,5 min.,G - All Ages,0,,,
Elysium,,5.22,12141,12317,1,Movie,1,Finished Airing,15-Aug-03,"Hanho Heung-Up,       Big Film Entertainment","None found, add some","Toei Animation,       OLM Digital",Unknown,"Action, Sci-Fi",Mecha,1 hr. 26 min.,PG-13 - Teens 13 or older,1,,,
Entotsuya Peroo,,5.22,14712,12318,718,Movie,1,Finished Airing,13-Apr-30,"None found, add some","None found, add some","None found, add some",Original,,,22 min.,G - All Ages,0,Kids,,
Fin-tan,,5.22,16951,12319,427,ONA,3,Finished Airing,"Feb 27, 2017 to Sep 15, 2017","None found, add some","None found, add some",Kenji Studio,Other,Comedy,,2 min. per ep.,G - All Ages,1,,,
Hyakka Zukan,Japanese-English Pictionary,5.22,13591,12320,1,Movie,1,Finished Airing,1989,"None found, add some","None found, add some","Yamamura Animation, Inc.",Unknown,Comedy,,12 min.,G - All Ages,0,,,
JaJa Uma! Quartet,Wild Cardz,5.22,10745,12321,2,OVA,2,Finished Airing,"May 21, 1997 to Sep 26, 1997","None found, add some",Central Park Media,"Movic,       Studio OX",Manga,"Adventure, Comedy, Fantasy",,30 min. per ep.,PG-13 - Teens 13 or older,4,Shounen,,
Joker: Marginal City,,5.22,11137,12322,2,OVA,1,Finished Airing,21-Apr-92,BEAM Entertainment,"None found, add some",Studio Sign,Manga,"Action, Romance, Sci-Fi",,36 min.,R - 17+ (violence & profanity),0,,,
Keitai Shoujo,,5.22,8161,12323,5,ONA,6,Finished Airing,"Mar 20, 2007 to Apr 17, 2007","Milky Cartoon,       G-mode","None found, add some",Studio Hibari,Visual novel,"Comedy, Drama, Romance",School,7 min. per ep.,PG-13 - Teens 13 or older,1,,,
"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou",,5.22,15568,12324,575,TV,5,Finished Airing,"Jul 4, 2015 to Aug 1, 2015","None found, add some","None found, add some",DLE,Radio,Comedy,,3 min. per ep.,G - All Ages,1,,Summer 2015,Saturdays at 01:53 (JST)
Kowabon,,5.22,3820,12325,34,TV,13,Finished Airing,"Oct 4, 2015 to Dec 27, 2015","None found, add some","None found, add some",ILCA,Original,Horror,,3 min. per ep.,PG-13 - Teens 13 or older,20,,Fall 2015,Sundays at 01:42 (JST)
Makai Tenshou,Ninja Resurrection,5.22,7170,12326,7,OVA,2,Finished Airing,"Feb 27, 1998 to Mar 27, 1998","None found, add some",ADV Films,Phoenix Entertainment,Novel,"Action, Supernatural","Historical, Samurai",40 min. per ep.,R+ - Mild Nudity,8,,,
Neo Satomi Hakkenden: Satomi-chanchi no Hachi Danshi,,5.22,15013,12327,664,ONA,1,Finished Airing,21-Dec-11,"None found, add some","None found, add some","None found, add some",Light novel,Comedy,,1 min.,PG-13 - Teens 13 or older,0,,,
Organic,,5.22,16428,12328,475,ONA,1,Finished Airing,21-Oct-09,"None found, add some","None found, add some","None found, add some",Original,Comedy,,4 min.,PG - Children,0,,,
Otsuki-sama to Oujo,The Princess and the Moon,5.22,15376,12329,603,Movie,1,Finished Airing,Aug-83,"Shin-Ei Animation,       Shinano Kikaku","None found, add some",Toei Animation,Unknown,Fantasy,,25 min.,G - All Ages,0,,,
Pacusi no Uta,,5.22,16198,12330,499,Special,1,Finished Airing,1994,"None found, add some","None found, add some","None found, add some",Original,Comedy,,1 min.,G - All Ages,0,,,
Space Travelers The Animation,Space Travelers,5.22,13868,12331,929,OVA,1,Finished Airing,23-Jun-00,"Fuji TV,       Robot Communications",Media Blasters,"None found, add some",Unknown,Sci-Fi,Space,59 min.,PG-13 - Teens 13 or older,0,,,
Tapuri Card x Kaijuu Sakaba Kanpai: Kanegon no Shuchou,,5.22,17062,12332,419,ONA,1,Finished Airing,05-Feb-17,"None found, add some","None found, add some",DLE,Other,Comedy,,1 min.,G - All Ages,0,,,
Tomoe ga Yuku!,,5.22,11668,12333,1,OVA,2,Finished Airing,"Oct 21, 1991 to Jan 21, 1992",Movic,"None found, add some",animate Film,Manga,"Action, Drama, Romance, Suspense",,44 min. per ep.,R - 17+ (violence & profanity),2,Shoujo,,
Yans! Gans! Meat or Die,,5.22,16207,12334,497,ONA,12,Finished Airing,"Oct 2, 2009 to 2010",TOHO,"None found, add some","None found, add some",Original,"Adventure, Comedy",,1 min. per ep.,PG - Children,2,,,
Yodel no Onna,,5.22,12314,12335,1,TV,6,Finished Airing,"Sep 22, 2017 to Aug 14, 2019","None found, add some","None found, add some",DLE,Original,Comedy,Music,30 sec. per ep.,G - All Ages,4,,Fall 2017,Unknown
Zashiki Warashi no Tatami-chan,The House Spirit Tatami-chan,5.22,8248,12336,5,ONA,12,Finished Airing,"Apr 10, 2020 to Jun 26, 2020","None found, add some","None found, add some",Zero-G,Original,"Comedy, Horror, Supernatural",,4 min. per ep.,PG-13 - Teens 13 or older,3,,,
Shin Yaranai ka,,5.21,10377,12337,2,OVA,1,Finished Airing,01-Apr-24,Cyzo,"None found, add some",Anime Tokyo,Manga,"Boys Love, Comedy",Parody,31 min.,PG-13 - Teens 13 or older,6,,,
Super Real Mahjong: Mahjong Battle Scramble - Konran-teki Sento Mahjong,,5.21,13203,12338,1,OVA,1,Finished Airing,21-Dec-90,"Seta Corporation,       Datam Polystar","None found, add some","None found, add some",Game,"Comedy, Fantasy, Ecchi",Strategy Game,45 min.,R+ - Mild Nudity,1,,,
"The Tales of Rien Village #1: ""Toilet ni Ittokiya""",,5.21,15314,12339,612,ONA,1,Finished Airing,2005,The Village of Marchen,"None found, add some","None found, add some",Original,Fantasy,,3 min.,G - All Ages,0,,,
Wena Wrist,,5.21,15993,12340,522,Special,1,Finished Airing,28-Jan-20,"None found, add some","None found, add some","None found, add some",Original,,"Military, Music",54 sec.,G - All Ages,1,,,
Yoshida no Matsue Beauty Daisakusen Prologue,,5.21,16254,12341,494,ONA,1,Finished Airing,16-Mar-17,"None found, add some","None found, add some","None found, add some",Original,Comedy,Parody,2 min.,G - All Ages,0,,,
Daimajuu Gekitou: Hagane no Oni,,5.21,9564,12342,3,OVA,1,Finished Airing,10-Dec-87,"None found, add some","None found, add some",AIC,Original,"Horror, Sci-Fi",Mecha,56 min.,PG-13 - Teens 13 or older,3,,,
Dokushin Apartment Dokudami-sou,,5.21,11003,12343,2,OVA,3,Finished Airing,"Dec 1, 1989 to Apr 1, 1990",Nichiei Agency,"None found, add some","Takahashi Studio,       Suna Kouhou",Manga,"Comedy, Slice of Life, Ecchi",,55 min. per ep.,R+ - Mild Nudity,9,Seinen,,
Ga Kan,Deep in Reflection,5.21,18747,12344,297,Movie,1,Finished Airing,2012,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,5 min.,PG-13 - Teens 13 or older,1,,,
Go-hiki no Kozaru-tachi,,5.21,16895,12345,432,Movie,1,Finished Airing,1956,Dentsu,"None found, add some","None found, add some",Original,,Mythology,16 min.,G - All Ages,1,,,
Hachimitsu Suicide Machine,,5.21,13728,12346,972,ONA,1,Finished Airing,26-Mar-21,"None found, add some","None found, add some",Usagi Ou,Original,Horror,,10 min.,PG-13 - Teens 13 or older,2,,,
Himitsukessha Taka no Tsume x Glass no Kamen desu ga,,5.21,16105,12347,511,ONA,1,Finished Airing,28-Mar-13,"None found, add some","None found, add some",DLE,Other,Comedy,Parody,2 min.,G - All Ages,0,,,
Kitty-chan wo Sagase! Toyama-shi Stamp Rally,Toyama City Stamp Rally: The Search for Hello Kitty!,5.21,15480,12348,587,ONA,1,Finished Airing,20-Jul-16,"None found, add some","None found, add some",DLE,Other,Comedy,,2 min.,G - All Ages,0,,,
Kyoudai Koguma,The Bear Brothers,5.21,15943,12349,528,Movie,1,Finished Airing,1932,"None found, add some","None found, add some","None found, add some",Unknown,Adventure,,11 min.,G - All Ages,0,,,
Life of the Dead,,5.21,16167,12350,502,ONA,4,Finished Airing,"Jul 26, 2011 to Jan 1, 2012","None found, add some","None found, add some",Studio Binzo,Original,"Comedy, Horror",,17 min. per ep.,R - 17+ (violence & profanity),2,,,
MapleStory,,5.21,8634,12351,4,TV,25,Finished Airing,"Oct 7, 2007 to Mar 30, 2008","TV Tokyo,       Dentsu,       Nexon","None found, add some",Madhouse,Game,"Action, Adventure, Comedy, Fantasy",,25 min. per ep.,PG - Children,4,Kids,Fall 2007,Unknown
Milk House Dreaming: Ai no Shiki,,5.21,13902,12352,918,OVA,1,Finished Airing,28-Nov-87,Shogakukan-Shueisha Productions,"None found, add some",Mook Animation,Manga,,Music,43 min.,G - All Ages,1,Shoujo,,
Nekketsu Uchuujin,Hot-blooded Alien,5.21,11824,12353,1,ONA,1,Finished Airing,31-Oct-09,"None found, add some","None found, add some","None found, add some",Original,"Comedy, Sci-Fi",,2 min.,PG-13 - Teens 13 or older,0,,,
Oshiri Kajiri Mushi (TV) 4th Season,Bottom Biting Bug 4,5.21,15113,12354,644,TV,10,Finished Airing,"Oct 5, 2015 to Dec 7, 2015","NHK,       Sound Team Don Juan","None found, add some",Kinema Citrus,Music,Comedy,,5 min. per ep.,G - All Ages,1,Kids,Fall 2015,Mondays at 18:25 (JST)
Kara The Animation,,5.2,12719,12355,1,TV,5,Finished Airing,01-Mar-13,NOTTV,"None found, add some","None found, add some",Unknown,Action,,24 min. per ep.,PG-13 - Teens 13 or older,2,,Winter 2013,Unknown
Mahou no Chocolate,,5.2,9587,12356,3,OVA,1,Finished Airing,30-Aug-01,"None found, add some","None found, add some",Ishikawa Pro,Original,"Drama, Romance",,8 min.,G - All Ages,2,,,
Mame-Mofu Collab Animation,,5.2,15420,12357,596,ONA,1,Finished Airing,2008,"None found, add some","None found, add some","None found, add some",Other,Comedy,,2 min.,G - All Ages,0,,,
Nara Shika Monogatari,Nara Deer Story,5.2,15492,12358,585,ONA,1,Finished Airing,2004,"None found, add some","None found, add some","None found, add some",Original,Comedy,,1 min.,G - All Ages,2,,,
Neon The Animation,,5.2,13094,12359,1,ONA,6,Finished Airing,"Jul 4, 2011 to Apr 3, 2015","None found, add some","None found, add some","None found, add some",Original,"Comedy, Slice of Life","Detective, Historical, Mecha",5 min. per ep.,G - All Ages,0,,,
Odin: Koushi Hansen Starlight,Odin: Starlight Mutiny,5.2,9257,12360,3,Movie,1,Finished Airing,10-Aug-85,Gakken,Central Park Media,Toei Animation,Original,"Action, Adventure, Drama, Sci-Fi",Space,2 hr. 19 min.,PG-13 - Teens 13 or older,3,,,
Sarasoujuu no Hana no Iro,Spotlight,5.2,16689,12361,450,Movie,1,Finished Airing,1971,"None found, add some","None found, add some","None found, add some",Unknown,Drama,,2 min.,R+ - Mild Nudity,1,,,
Tarzan,,5.2,16487,12362,470,Movie,1,Finished Airing,1990,"None found, add some","None found, add some",Takun Manga Box,Original,Avant Garde,,6 min.,G - All Ages,1,,,
