Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
What's Michael? 2,,5.79,14281,10501,824,OVA,1,Finished Airing,25-Jul-88,Kitty Films,"None found, add some",Kitty Film Mitaka Studio,Manga,Comedy,Pets,44 min.,G - All Ages,0,,,
Xi Yangyang Yu Hui Tailang: Niu Qi Chong Tian,Pleasant Goat and Big Big Wolf: The Super Snail Adventure,5.79,15076,10502,648,Movie,1,Finished Airing,16-Jan-09,"Creative Power Entertaining,       Alpha Group Co. Ltd.","None found, add some","None found, add some",Unknown,"Adventure, Comedy",,1 hr. 25 min.,G - All Ages,0,Kids,,
Yasashii Akuma,The Kind Devil,5.79,17502,10503,386,ONA,1,Finished Airing,26-Dec-18,"None found, add some","None found, add some",Kate Arrow,Picture book,,Mythology,25 min.,G - All Ages,0,Kids,,
YouTuNya,,5.79,15015,10504,663,TV,15,Finished Airing,"Apr 4, 2023 to Jul 11, 2023","None found, add some","None found, add some",Lesprit,Original,Comedy,,1 min. per ep.,G - All Ages,1,,Spring 2023,Thursdays at 06:00 (JST)
Zenbu Wakatteru,Scape Escape,5.79,17067,10505,418,Movie,1,Finished Airing,2014,Geidai Animation,"None found, add some","None found, add some",Original,Avant Garde,,1 min.,PG-13 - Teens 13 or older,0,,,
Soukou Musume Senki,LBX Girls,5.78,5378,10506,15,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",DMM Music,Funimation,Studio A-CAT,Game,"Action, Fantasy",Military,23 min. per ep.,PG-13 - Teens 13 or older,38,,Winter 2021,Thursdays at 00:00 (JST)
Stand My Heroes: Piece of Truth,,5.78,4248,10507,27,TV,12,Finished Airing,"Oct 7, 2019 to Dec 23, 2019","Yomiuri Telecasting,       Shochiku,       Tokyo MX,       BS11,       JR East Marketing & Communications,       Marui Group,       Rakuten",Funimation,M.S.C,Game,"Mystery, Romance","Adult Cast, Detective, Reverse Harem",24 min. per ep.,PG-13 - Teens 13 or older,87,Josei,Fall 2019,Mondays at 23:00 (JST)
Sugar*Soldier,,5.78,6076,10508,11,Special,3,Finished Airing,"Jan 14, 2014 to Jan 28, 2014",TV Tokyo,"None found, add some","None found, add some",Manga,"Comedy, Romance",,1 min. per ep.,G - All Ages,9,Shoujo,,
Ulibyeol Ilhowa Eollugso,Satellite Girl and Milk Cow,5.78,11201,10509,2,Movie,1,Finished Airing,20-Feb-14,"None found, add some",GKIDS,"None found, add some",Unknown,"Comedy, Romance",,1 hr. 21 min.,G - All Ages,7,Kids,,
Wizardry,,5.78,9324,10510,3,OVA,1,Finished Airing,20-Feb-91,"None found, add some","None found, add some",TMS Entertainment,Game,"Action, Adventure, Fantasy",,50 min.,R - 17+ (violence & profanity),2,,,
X Densha de Ikou,,5.78,8929,10511,4,OVA,1,Finished Airing,06-Nov-87,"None found, add some","None found, add some",Madhouse,Novel,"Avant Garde, Mystery, Supernatural",,50 min.,R - 17+ (violence & profanity),9,,,
Xi Yangyang Yu Hui Tailang: Yang Nian Xi Yangyang,Amazing Pleasant Goat,5.78,17946,10512,352,Movie,1,Finished Airing,31-Jan-15,Alpha Group Co. Ltd.,"None found, add some","None found, add some",Unknown,"Adventure, Comedy",,1 hr. 25 min.,G - All Ages,0,Kids,,
Yuri Seijin Naoko-san,,5.78,5167,10513,17,OVA,1,Finished Airing,18-Dec-10,"None found, add some","None found, add some",ufotable,Manga,"Comedy, Girls Love",,6 min.,PG-13 - Teens 13 or older,8,,,
Zannen Onna Kanbu Black General-san,Precarious Woman Executive Miss Black General,5.78,10713,10514,2,ONA,10,Finished Airing,"Jun 5, 2017 to Jul 21, 2017","Kadokawa,       Anime Beans","None found, add some",Oddjob,Manga,Comedy,Super Power,3 min. per ep.,PG-13 - Teens 13 or older,4,Shounen,,
Amanatsu,,5.78,10502,10515,2,Movie,1,Finished Airing,25-Mar-10,"None found, add some","None found, add some",Kamikaze Douga,Original,Sci-Fi,,14 min.,PG-13 - Teens 13 or older,3,,,
